Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.002800000000000000e+04,5.273437500000000000e-02,-4.653561938119219477e-01,4.653561938119219477e-01,5.273437500000000000e-02,4.736328125000000000e-01,5.263671875000000000e-01
1.002900000000000000e+04,7.617187500000000000e-02,3.677189454611031749e-01,3.677189454611031749e-01,7.617187500000000000e-02,4.619140625000000000e-01,5.380859375000000000e-01
1.003000000000000000e+04,7.617187500000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.617187500000000000e-02,4.619140625000000000e-01,5.380859375000000000e-01
1.003100000000000000e+04,7.226562500000000000e-02,-5.264302386228036923e-02,5.264302386228036923e-02,7.226562500000000000e-02,4.638671875000000000e-01,5.361328125000000000e-01
1.003200000000000000e+04,7.421875000000000000e-02,2.666788293350697003e-02,2.666788293350697003e-02,7.421875000000000000e-02,4.628906250000000000e-01,5.371093750000000000e-01
1.003300000000000000e+04,4.882812500000000000e-02,-4.187033286613388583e-01,4.187033286613388583e-01,4.882812500000000000e-02,4.755859375000000000e-01,5.244140625000000000e-01
1.003400000000000000e+04,3.515625000000000000e-02,-3.284961027224144736e-01,3.284961027224144736e-01,3.515625000000000000e-02,4.824218750000000000e-01,5.175781250000000000e-01
1.003500000000000000e+04,3.125000000000000000e-02,-1.177794802082816616e-01,1.177794802082816616e-01,3.125000000000000000e-02,4.843750000000000000e-01,5.156250000000000000e-01
1.003600000000000000e+04,2.539062500000000000e-02,-2.076319804264241675e-01,2.076319804264241675e-01,2.539062500000000000e-02,4.873046875000000000e-01,5.126953125000000000e-01
1.003700000000000000e+04,0.000000000000000000e+00,-1.014217467422613339e+01,1.014217467422613339e+01,2.539062500000000000e-02,4.873046875000000000e-01,5.126953125000000000e-01
1.003800000000000000e+04,1.562500000000000000e-02,9.656691472556689249e+00,9.656691472556689249e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.003900000000000000e+04,1.562500000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.004000000000000000e+04,7.812500000000000000e-03,-6.930831867033342419e-01,6.930831867033342419e-01,7.812500000000000000e-03,4.960937500000000000e-01,5.039062500000000000e-01
1.004100000000000000e+04,4.687500000000000000e-02,1.791652810525137696e+00,1.791652810525137696e+00,4.687500000000000000e-02,4.765625000000000000e-01,5.234375000000000000e-01
1.004200000000000000e+04,5.859375000000000000e-02,2.231392847294610959e-01,2.231392847294610959e-01,5.859375000000000000e-02,4.707031250000000000e-01,5.292968750000000000e-01
1.004300000000000000e+04,7.226562500000000000e-02,2.097173022031322276e-01,2.097173022031322276e-01,7.226562500000000000e-02,4.638671875000000000e-01,5.361328125000000000e-01
1.004400000000000000e+04,5.468750000000000000e-02,-2.787089546640122428e-01,2.787089546640122428e-01,5.468750000000000000e-02,4.726562500000000000e-01,5.273437500000000000e-01
1.004500000000000000e+04,3.125000000000000000e-02,-5.596020739945157807e-01,5.596020739945157807e-01,3.125000000000000000e-02,4.843750000000000000e-01,5.156250000000000000e-01
1.004600000000000000e+04,7.812500000000000000e-03,-1.386198368799202996e+00,1.386198368799202996e+00,7.812500000000000000e-03,4.960937500000000000e-01,5.039062500000000000e-01
1.004700000000000000e+04,4.492187500000000000e-02,1.749094123622356278e+00,1.749094123622356278e+00,4.492187500000000000e-02,4.775390625000000000e-01,5.224609375000000000e-01
1.004800000000000000e+04,4.492187500000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.492187500000000000e-02,4.775390625000000000e-01,5.224609375000000000e-01
1.004900000000000000e+04,4.687500000000000000e-02,4.255868690278141742e-02,4.255868690278141742e-02,4.687500000000000000e-02,4.765625000000000000e-01,5.234375000000000000e-01
1.005000000000000000e+04,5.468750000000000000e-02,1.541476322685810807e-01,1.541476322685810807e-01,5.468750000000000000e-02,4.726562500000000000e-01,5.273437500000000000e-01
1.005100000000000000e+04,1.562500000000000000e-02,-1.252717256090384534e+00,1.252717256090384534e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.005200000000000000e+04,2.343750000000000000e-02,4.054437759125470997e-01,4.054437759125470997e-01,2.343750000000000000e-02,4.882812500000000000e-01,5.117187500000000000e-01
1.005300000000000000e+04,2.929687500000000000e-02,2.231350183085440975e-01,2.231350183085440975e-01,2.929687500000000000e-02,4.853515625000000000e-01,5.146484375000000000e-01
1.005400000000000000e+04,2.148437500000000000e-02,-3.101425166833045033e-01,3.101425166833045033e-01,2.148437500000000000e-02,4.892578125000000000e-01,5.107421875000000000e-01
1.005500000000000000e+04,7.812500000000000000e-03,-1.011519464241120936e+00,1.011519464241120936e+00,7.812500000000000000e-03,4.960937500000000000e-01,5.039062500000000000e-01
1.005600000000000000e+04,0.000000000000000000e+00,-8.963608285853354118e+00,8.963608285853354118e+00,7.812500000000000000e-03,4.960937500000000000e-01,5.039062500000000000e-01
1.005700000000000000e+04,1.171875000000000000e-02,9.369030731845473525e+00,9.369030731845473525e+00,1.171875000000000000e-02,4.941406250000000000e-01,5.058593750000000000e-01
1.005800000000000000e+04,1.367187500000000000e-02,1.541384903169413789e-01,1.541384903169413789e-01,1.367187500000000000e-02,4.931640625000000000e-01,5.068359375000000000e-01
1.005900000000000000e+04,1.953125000000000000e-02,3.566530024457224002e-01,3.566530024457224002e-01,1.953125000000000000e-02,4.902343750000000000e-01,5.097656250000000000e-01
1.006000000000000000e+04,2.343750000000000000e-02,1.823130238610999321e-01,1.823130238610999321e-01,2.343750000000000000e-02,4.882812500000000000e-01,5.117187500000000000e-01
1.006100000000000000e+04,2.148437500000000000e-02,-8.700749837476040582e-02,8.700749837476040582e-02,2.148437500000000000e-02,4.892578125000000000e-01,5.107421875000000000e-01
1.006200000000000000e+04,3.320312500000000000e-02,4.353016440800376863e-01,4.353016440800376863e-01,3.320312500000000000e-02,4.833984375000000000e-01,5.166015625000000000e-01
1.006300000000000000e+04,4.687500000000000000e-02,3.448317022039790736e-01,3.448317022039790736e-01,4.687500000000000000e-02,4.765625000000000000e-01,5.234375000000000000e-01
1.006400000000000000e+04,3.710937500000000000e-02,-2.336092372819389418e-01,2.336092372819389418e-01,3.710937500000000000e-02,4.814453125000000000e-01,5.185546875000000000e-01
1.006500000000000000e+04,2.929687500000000000e-02,-2.363815923187733148e-01,2.363815923187733148e-01,2.929687500000000000e-02,4.853515625000000000e-01,5.146484375000000000e-01
1.006600000000000000e+04,7.031250000000000000e-02,8.754488267241828936e-01,8.754488267241828936e-01,7.031250000000000000e-02,4.648437500000000000e-01,5.351562500000000000e-01
1.006700000000000000e+04,3.906250000000000000e-02,-5.877752873508810261e-01,5.877752873508810261e-01,3.906250000000000000e-02,4.804687500000000000e-01,5.195312500000000000e-01
1.006800000000000000e+04,1.171875000000000000e-02,-1.203913074305609676e+00,1.203913074305609676e+00,1.171875000000000000e-02,4.941406250000000000e-01,5.058593750000000000e-01
1.006900000000000000e+04,-7.812500000000000000e-03,-4.054224459921176305e-01,4.054224459921176305e-01,7.812500000000000000e-03,4.960937500000000000e-01,5.039062500000000000e-01
1.007000000000000000e+04,1.953125000000000000e-03,-1.385910483955867356e+00,1.385910483955867356e+00,1.953125000000000000e-03,4.990234375000000000e-01,5.009765625000000000e-01
1.007100000000000000e+04,2.929687500000000000e-02,2.707572464880292795e+00,2.707572464880292795e+00,2.929687500000000000e-02,4.853515625000000000e-01,5.146484375000000000e-01
1.007200000000000000e+04,3.515625000000000000e-02,1.823158680830592182e-01,1.823158680830592182e-01,3.515625000000000000e-02,4.824218750000000000e-01,5.175781250000000000e-01
1.007300000000000000e+04,1.953125000000000000e-02,-5.877639102527032477e-01,5.877639102527032477e-01,1.953125000000000000e-02,4.902343750000000000e-01,5.097656250000000000e-01
1.007400000000000000e+04,5.468750000000000000e-02,1.029586504038937367e+00,1.029586504038937367e+00,5.468750000000000000e-02,4.726562500000000000e-01,5.273437500000000000e-01
1.007500000000000000e+04,6.640625000000000000e-02,1.941527876040001210e-01,1.941527876040001210e-01,6.640625000000000000e-02,4.667968750000000000e-01,5.332031250000000000e-01
1.007600000000000000e+04,5.078125000000000000e-02,-2.682593531910244522e-01,2.682593531910244522e-01,5.078125000000000000e-02,4.746093750000000000e-01,5.253906250000000000e-01
1.007700000000000000e+04,4.687500000000000000e-02,-8.004106668155674953e-02,8.004106668155674953e-02,4.687500000000000000e-02,4.765625000000000000e-01,5.234375000000000000e-01
1.007800000000000000e+04,5.273437500000000000e-02,1.177806653337705178e-01,1.177806653337705178e-01,5.273437500000000000e-02,4.736328125000000000e-01,5.263671875000000000e-01
1.007900000000000000e+04,1.562500000000000000e-02,-1.216350289155573972e+00,1.216350289155573972e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.008000000000000000e+04,0.000000000000000000e+00,-9.656691472556689249e+00,9.656691472556689249e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.008100000000000000e+04,2.148437500000000000e-02,9.975127750094475942e+00,9.975127750094475942e+00,2.148437500000000000e-02,4.892578125000000000e-01,5.107421875000000000e-01
1.008200000000000000e+04,1.171875000000000000e-02,-6.060970182490033054e-01,6.060970182490033054e-01,1.171875000000000000e-02,4.941406250000000000e-01,5.058593750000000000e-01
1.008300000000000000e+04,-3.906250000000000000e-03,-1.098441651123169827e+00,1.098441651123169827e+00,3.906250000000000000e-03,4.980468750000000000e-01,5.019531250000000000e-01
1.008400000000000000e+04,-2.343750000000000000e-02,1.791546167746933538e+00,1.791546167746933538e+00,2.343750000000000000e-02,4.882812500000000000e-01,5.117187500000000000e-01
1.008500000000000000e+04,-2.734375000000000000e-02,1.541445848306413069e-01,1.541445848306413069e-01,2.734375000000000000e-02,4.863281250000000000e-01,5.136718750000000000e-01
1.008600000000000000e+04,-2.734375000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.734375000000000000e-02,4.863281250000000000e-01,5.136718750000000000e-01
1.008700000000000000e+04,-5.859375000000000000e-02,7.621205478080761431e-01,7.621205478080761431e-01,5.859375000000000000e-02,4.707031250000000000e-01,5.292968750000000000e-01
1.008800000000000000e+04,-5.859375000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.859375000000000000e-02,4.707031250000000000e-01,5.292968750000000000e-01
1.008900000000000000e+04,-2.929687500000000000e-02,-6.931301143301733525e-01,6.931301143301733525e-01,2.929687500000000000e-02,4.853515625000000000e-01,5.146484375000000000e-01
1.009000000000000000e+04,-3.125000000000000000e-02,6.453638787477755656e-02,6.453638787477755656e-02,3.125000000000000000e-02,4.843750000000000000e-01,5.156250000000000000e-01
1.009100000000000000e+04,-4.101562500000000000e-02,2.719260966508012523e-01,2.719260966508012523e-01,4.101562500000000000e-02,4.794921875000000000e-01,5.205078125000000000e-01
1.009200000000000000e+04,-8.398437500000000000e-02,7.166652042208259132e-01,7.166652042208259132e-01,8.398437500000000000e-02,4.580078125000000000e-01,5.419921875000000000e-01
1.009300000000000000e+04,-1.054687500000000000e-01,2.277815054013876406e-01,2.277815054013876406e-01,1.054687500000000000e-01,4.472656250000000000e-01,5.527343750000000000e-01
1.009400000000000000e+04,-1.386718750000000000e-01,2.736935602821131130e-01,2.736935602821131130e-01,1.386718750000000000e-01,4.306640625000000000e-01,5.693359375000000000e-01
1.009500000000000000e+04,-1.308593750000000000e-01,-5.798682713010738787e-02,5.798682713010738787e-02,1.308593750000000000e-01,4.345703125000000000e-01,5.654296875000000000e-01
1.009600000000000000e+04,-8.984375000000000000e-02,-3.760477342908776777e-01,3.760477342908776777e-01,8.984375000000000000e-02,4.550781250000000000e-01,5.449218750000000000e-01
1.009700000000000000e+04,-9.765625000000000000e-02,8.338071851378270338e-02,8.338071851378270338e-02,9.765625000000000000e-02,4.511718750000000000e-01,5.488281250000000000e-01
1.009800000000000000e+04,-1.152343750000000000e-01,1.655128764584499201e-01,1.655128764584499201e-01,1.152343750000000000e-01,4.423828125000000000e-01,5.576171875000000000e-01
1.009900000000000000e+04,-1.308593750000000000e-01,1.271541393186450541e-01,1.271541393186450541e-01,1.308593750000000000e-01,4.345703125000000000e-01,5.654296875000000000e-01
1.010000000000000000e+04,-1.074218750000000000e-01,-1.973577668727619638e-01,1.973577668727619638e-01,1.074218750000000000e-01,4.462890625000000000e-01,5.537109375000000000e-01
1.010100000000000000e+04,-1.367187500000000000e-01,2.411600620282732255e-01,2.411600620282732255e-01,1.367187500000000000e-01,4.316406250000000000e-01,5.683593750000000000e-01
1.010200000000000000e+04,-1.406250000000000000e-01,2.817067379355875367e-02,2.817067379355875367e-02,1.406250000000000000e-01,4.296875000000000000e-01,5.703125000000000000e-01
1.010300000000000000e+04,-1.816406250000000000e-01,2.559317684125628212e-01,2.559317684125628212e-01,1.816406250000000000e-01,4.091796875000000000e-01,5.908203125000000000e-01
1.010400000000000000e+04,-1.875000000000000000e-01,3.174852627250190906e-02,3.174852627250190906e-02,1.875000000000000000e-01,4.062500000000000000e-01,5.937500000000000000e-01
1.010500000000000000e+04,-1.992187500000000000e-01,6.062430809256857955e-02,6.062430809256857955e-02,1.992187500000000000e-01,4.003906250000000000e-01,5.996093750000000000e-01
1.010600000000000000e+04,-9.570312500000000000e-02,-7.331470858438877691e-01,7.331470858438877691e-01,9.570312500000000000e-02,4.521484375000000000e-01,5.478515625000000000e-01
1.010700000000000000e+04,-6.835937500000000000e-02,-3.364680570817824012e-01,3.364680570817824012e-01,6.835937500000000000e-02,4.658203125000000000e-01,5.341796875000000000e-01
1.010800000000000000e+04,-6.835937500000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.835937500000000000e-02,4.658203125000000000e-01,5.341796875000000000e-01
1.010900000000000000e+04,-1.328125000000000000e-01,6.641525446056797399e-01,6.641525446056797399e-01,1.328125000000000000e-01,4.335937500000000000e-01,5.664062500000000000e-01
1.011000000000000000e+04,-9.179687500000000000e-02,-3.693567392917809222e-01,3.693567392917809222e-01,9.179687500000000000e-02,4.541015625000000000e-01,5.458984375000000000e-01
1.011100000000000000e+04,-5.078125000000000000e-02,-5.920422651324610541e-01,5.920422651324610541e-01,5.078125000000000000e-02,4.746093750000000000e-01,5.253906250000000000e-01
1.011200000000000000e+04,-9.570312500000000000e-02,6.337145169003446377e-01,6.337145169003446377e-01,9.570312500000000000e-02,4.521484375000000000e-01,5.478515625000000000e-01
1.011300000000000000e+04,-8.593750000000000000e-02,-1.076294768214327569e-01,1.076294768214327569e-01,8.593750000000000000e-02,4.570312500000000000e-01,5.429687500000000000e-01
1.011400000000000000e+04,-1.171875000000000000e-01,3.101518253048296536e-01,3.101518253048296536e-01,1.171875000000000000e-01,4.414062500000000000e-01,5.585937500000000000e-01
1.011500000000000000e+04,-2.929687500000000000e-02,-1.386268761666010541e+00,1.386268761666010541e+00,2.929687500000000000e-02,4.853515625000000000e-01,5.146484375000000000e-01
