t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
2216,-0.244140625,-0.17563190888725333,0.17563190888725333,0.244140625,0.3779296875,0.6220703125
2217,-0.2421875,-0.008032138665142075,0.008032138665142075,0.2421875,0.37890625,0.62109375
2218,-0.27734375,0.1355449685997927,0.1355449685997927,0.27734375,0.361328125,0.638671875
2219,-0.234375,-0.16833465378895274,0.16833465378895274,0.234375,0.3828125,0.6171875
2220,-0.267578125,0.13248865360780826,0.13248865360780826,0.267578125,0.3662109375,0.6337890625
2221,-0.27734375,0.03584600018114448,0.03584600018114448,0.27734375,0.361328125,0.638671875
2222,-0.19921875,-0.3308528303490472,0.3308528303490472,0.19921875,0.400390625,0.599609375
2223,-0.28125,0.34483902224571916,0.34483902224571916,0.28125,0.359375,0.640625
2224,-0.255859375,-0.09461562353477504,0.09461562353477504,0.255859375,0.3720703125,0.6279296875
2225,-0.251953125,-0.015384858244416488,0.015384858244416488,0.251953125,0.3740234375,0.6259765625
2226,-0.244140625,-0.03149854005213104,0.03149854005213104,0.244140625,0.3779296875,0.6220703125
2227,-0.255859375,0.04688339829654753,0.04688339829654753,0.255859375,0.3720703125,0.6279296875
2228,-0.244140625,-0.04688339829654753,0.04688339829654753,0.244140625,0.3779296875,0.6220703125
2229,-0.263671875,0.07696073772991752,0.07696073772991752,0.263671875,0.3681640625,0.6318359375
2230,-0.28125,0.06453828410140505,0.06453828410140505,0.28125,0.359375,0.640625
2231,-0.24609375,-0.13353088468994967,0.13353088468994967,0.24609375,0.376953125,0.623046875
2232,-0.24609375,0.0,0.0,0.24609375,0.376953125,0.623046875
2233,-0.2734375,0.10536010931018858,0.10536010931018858,0.2734375,0.36328125,0.63671875
2234,-0.251953125,-0.08182970639943044,0.08182970639943044,0.251953125,0.3740234375,0.6259765625
2235,-0.263671875,0.045462197677786476,0.045462197677786476,0.263671875,0.3681640625,0.6318359375
