t_M,M,C_mean,t_r,r,abs_r
351,-0.12890625,0.12890625,351,-0.04651964622945748,0.04651964622945748
352,-0.123046875,0.123046875,352,0.0909710715169485,0.0909710715169485
353,-0.134765625,0.134765625,353,0.17261156628761465,0.17261156628761465
354,-0.16015625,0.16015625,354,0.012121285305071616,0.012121285305071616
355,-0.162109375,0.162109375,355,0.1137582220621749,0.1137582220621749
356,-0.181640625,0.181640625,356,-0.06669099481970742,0.06669099481970742
357,-0.169921875,0.169921875,357,0.03390135550823414,0.03390135550823414
358,-0.17578125,0.17578125,358,0.08515734394374808,0.08515734394374808
359,-0.19140625,0.19140625,359,0.08786091635046644,0.08786091635046644
360,-0.208984375,0.208984375,360,-0.20691961580244866,0.20691961580244866
361,-0.169921875,0.169921875,361,-0.03509110963190509,0.03509110963190509
362,-0.1640625,0.1640625,362,0.08004223881181538,0.08004223881181538
363,-0.177734375,0.177734375,363,-0.18012505576890447,0.18012505576890447
364,-0.1484375,0.1484375,364,-0.09662615224615956,0.09662615224615956
365,-0.134765625,0.134765625,365,-0.12323166727887491,0.12323166727887491
366,-0.119140625,0.119140625,366,-0.05043041948704596,0.05043041948704596
367,-0.11328125,0.11328125,367,-0.09015026421084427,0.09015026421084427
368,-0.103515625,0.103515625,368,-0.1416490470208842,0.1416490470208842
369,-0.08984375,0.08984375,369,-0.3321294503642984,0.3321294503642984
370,-0.064453125,0.064453125,370,0.11440867388868359,0.11440867388868359
371,-0.072265625,0.072265625,371,0.41442908316417615,0.41442908316417615
372,-0.109375,0.109375,372,-0.036367305549689366,0.036367305549689366
373,-0.10546875,0.10546875,373,-0.01869195411798774,0.01869195411798774
374,-0.103515625,0.103515625,374,-0.09908989636515031,0.09908989636515031
375,-0.09375,0.09375,375,0.020619069517959332,0.020619069517959332
376,-0.095703125,0.095703125,376,-0.041672251767883584,0.041672251767883584
377,-0.091796875,0.091796875,377,-0.06595722505354917,0.06595722505354917
378,-0.0859375,0.0859375,378,0.0224725972691755,0.0224725972691755
379,-0.087890625,0.087890625,379,-0.25131117752952514,0.25131117752952514
380,-0.068359375,0.068359375,380,0.15822186447736808,0.15822186447736808
381,-0.080078125,0.080078125,381,-0.2478326517594862,0.2478326517594862
382,-0.0625,0.0625,382,0.0,0.0
383,-0.0625,0.0625,383,-0.09843841766869055,0.09843841766869055
384,-0.056640625,0.056640625,384,0.2962612892455634,0.2962612892455634
385,-0.076171875,0.076171875,385,0.09763724835081877,0.09763724835081877
386,-0.083984375,0.083984375,386,-0.12361238927959217,0.12361238927959217
387,-0.07421875,0.07421875,387,-0.27028614831679,0.27028614831679
388,-0.056640625,0.056640625,388,0.03390096318015079,0.03390096318015079
389,-0.05859375,0.05859375,389,0.3364673605020676,0.3364673605020676
390,-0.08203125,0.08203125,390,0.26966068559479517,0.26966068559479517
391,-0.107421875,0.107421875,391,-0.05608892959325029,0.05608892959325029
392,-0.1015625,0.1015625,392,0.22314158210089063,0.22314158210089063
393,-0.126953125,0.126953125,393,-0.11394330869402758,0.11394330869402758
394,-0.11328125,0.11328125,394,0.03390125742536165,0.03390125742536165
395,-0.1171875,0.1171875,395,0.08004205126866593,0.08004205126866593
396,-0.126953125,0.126953125,396,-0.14903431323719474,0.14903431323719474
397,-0.109375,0.109375,397,0.0,0.0
398,-0.109375,0.109375,398,0.03509100454316716,0.03509100454316716
